Feature,Coefficient
RowNumber,-4.608835035763916E-7
CustomerId,1.64698502172057E-7
CreditScore,-0.02291980386077376
Age,0.2765861634888206
Tenure,0.4245824339779094
Balance,1.1577181433978148E-4
NumOfProducts,-3.09521671957647
HasCrCard,-5.02035771932645
IsActiveMember,0.0
EstimatedSalary,-3.3469438932119066E-5
Exited,-3.229324169560602
Complain,0.0
Satisfaction Score,1.8906648031914344
Surname_encoded,0.0
Geography_encoded,-0.49288998279830315
Gender_encoded,-4.814995522255882
Card Type_encoded,6.331519391686166
