Feature,AverageCoefficient
Age,500.138293081744
Balance,500.000057885907
Card Type_encoded,503.165759695843
Complain,500.000000000000
CreditScore,499.988540098070
CustomerId,500.000000082349
EstimatedSalary,499.999983265281
Exited,498.385337915220
Gender_encoded,497.592502238872
Geography_encoded,499.753555008601
HasCrCard,497.489821140337
IsActiveMember,0.00000000000000
NumOfProducts,498.452391640212
RowNumber,499.999999769558
Satisfaction Score,500.945332401596
Surname_encoded,500.000000000000
Tenure,500.212291216989
