RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
*,*,sd***,"[412, 850]",Germany,Female,43,8,119691.19,3,0,0,88138.065,1,1,5,PLATINUM,641
*,*,sd***,"[406, 850]",France,Female,40,6,94740.16,1,1,0,87675.62,0,0,2,PLATINUM,596
*,*,sd***,"[437, 850]",Spain,Male,33,8,754.52,2,1,0,83403.26,0,0,3,PLATINUM,595
*,*,sd***,"[431, 850]",Spain,Male,33,2,82665.63500000001,2,1,0,87426.185,0,0,1,DIAMOND,594
*,*,sd***,"[417, 850]",France,Male,39,8,1054.92,2,1,1,81987.91500000001,0,0,5,PLATINUM,616
*,*,sd***,"[428, 850]",Germany,Male,37,8,114741.56,1,1,0,82899.805,0,0,3,PLATINUM,618
*,*,sd***,"[437, 850]",Spain,Male,33,10,754.52,1,1,0,83403.26,0,0,1,PLATINUM,595
*,*,sd***,"[433, 850]",Spain,Female,33,6,98306.6,2,0,0,94792.34,0,0,4,DIAMOND,609
*,*,sd***,"[437, 850]",Spain,Male,33,8,754.52,2,1,1,83403.26,0,0,4,PLATINUM,595
*,*,sd***,"[423, 850]",France,Female,41,10,103015.46,1,0,0,86708.29,1,1,3,GOLD,623
*,*,sd***,"[406, 850]",France,Female,40,5,94740.16,3,0,0,87675.62,1,1,2,PLATINUM,596
*,*,sd***,"[428, 850]",Germany,Male,37,2,114741.56,2,1,0,82899.805,0,0,1,PLATINUM,618
*,*,sd***,"[417, 850]",France,Male,39,8,1054.92,1,1,1,81987.91500000001,0,0,4,PLATINUM,616
*,*,sd***,"[422, 850]",Spain,Female,31,5,97533.035,2,1,0,92829.83,0,0,3,GOLD,632
*,*,sd***,"[418, 850]",France,Male,40,8,103436.16500000001,2,1,0,80187.465,0,0,2,DIAMOND,612
*,*,sd***,"[415, 850]",Spain,Female,31,5,843.7850000000001,1,1,1,92442.485,0,0,3,SILVER,591
*,*,sd***,"[405, 850]",France,Female,39,8,109267.96,2,1,0,87271.72,0,1,3,DIAMOND,610
*,*,sd***,"[409, 850]",Germany,Female,43,1,119681.4,2,0,1,88528.75,0,0,3,DIAMOND,632
*,*,sd***,"[414, 850]",Spain,Female,29,3,2296.815,1,1,0,93153.56,0,0,2,PLATINUM,603
*,*,sd***,"[405, 850]",France,Female,39,8,109267.96,3,0,1,87271.72,1,1,3,DIAMOND,610
*,*,sd***,"[409, 850]",Germany,Female,43,2,119681.4,3,1,0,88528.75,1,1,5,DIAMOND,632
*,*,sd***,"[412, 850]",Germany,Female,43,9,119691.19,2,0,1,88138.065,0,0,4,PLATINUM,641
*,*,sd***,"[409, 850]",Germany,Female,43,9,119681.4,2,1,1,88528.75,0,0,3,DIAMOND,632
*,*,sd***,"[423, 850]",France,Female,41,7,103015.46,2,1,1,86708.29,0,0,3,GOLD,623
*,*,sd***,"[431, 850]",Spain,Male,33,10,82665.63500000001,2,1,0,87426.185,0,0,3,DIAMOND,594
*,*,sd***,"[422, 850]",Spain,Female,31,8,97533.035,1,0,1,92829.83,0,0,1,GOLD,632
*,*,sd***,"[433, 850]",Spain,Female,33,8,98306.6,1,0,0,94792.34,1,1,1,DIAMOND,609
*,*,sd***,"[409, 850]",Germany,Female,43,10,119681.4,1,0,0,88528.75,1,1,5,DIAMOND,632
*,*,sd***,"[412, 850]",Germany,Female,43,7,119691.19,2,0,0,88138.065,0,0,3,PLATINUM,641
*,*,sd***,"[441, 850]",Germany,Female,49,6,116113.54,2,1,1,91793.11,0,0,5,SILVER,590
*,*,sd***,"[409, 850]",Germany,Female,43,8,119681.4,1,0,0,88528.75,1,1,3,DIAMOND,632
*,*,sd***,"[451, 850]",France,Male,33,3,95994.765,2,1,1,78539.65,0,0,2,GOLD,613
*,*,sd***,"[433, 850]",Spain,Female,33,10,98306.6,1,1,0,94792.34,0,0,3,DIAMOND,609
*,*,sd***,"[415, 850]",Germany,Female,45,4,119930.73,1,1,1,88349.54,1,1,3,GOLD,649
*,*,sd***,"[423, 850]",France,Female,41,8,103015.46,2,0,0,86708.29,0,0,2,GOLD,623
*,*,sd***,"[414, 850]",Spain,Female,29,5,2296.815,1,1,0,93153.56,0,0,1,PLATINUM,603
*,*,sd***,"[409, 850]",Germany,Female,43,6,119681.4,3,0,0,88528.75,1,1,4,DIAMOND,632
*,*,sd***,"[406, 850]",France,Female,40,10,94740.16,2,1,0,87675.62,0,0,4,PLATINUM,596
*,*,sd***,"[417, 850]",France,Female,40,2,84653.945,2,1,0,88612.06,1,0,5,SILVER,588
*,*,sd***,"[409, 850]",Germany,Female,43,8,119681.4,1,1,1,88528.75,0,0,2,DIAMOND,632
*,*,sd***,"[409, 850]",Germany,Female,43,4,119681.4,2,0,1,88528.75,0,0,2,DIAMOND,632
*,*,sd***,"[437, 850]",Germany,Male,40,7,115786.555,3,0,0,86361.97,1,1,4,DIAMOND,615
*,*,sd***,"[437, 850]",Spain,Male,33,9,754.52,2,1,0,83403.26,0,0,3,PLATINUM,595
*,*,sd***,"[422, 850]",Spain,Female,31,9,97533.035,2,0,1,92829.83,0,0,3,GOLD,632
*,*,sd***,"[451, 850]",France,Male,33,4,95994.765,2,1,1,78539.65,0,0,5,GOLD,613
*,*,sd***,"[412, 850]",Germany,Female,43,5,119691.19,1,1,0,88138.065,0,0,5,PLATINUM,641
*,*,sd***,"[433, 850]",Spain,Female,33,9,98306.6,2,1,0,94792.34,0,0,2,DIAMOND,609
*,*,sd***,"[412, 850]",Germany,Female,43,1,119691.19,1,1,1,88138.065,0,0,3,PLATINUM,641
*,*,sd***,"[427, 850]",Spain,Male,31,5,80686.935,2,1,0,85320.04000000001,0,0,3,GOLD,625
*,*,sd***,"[415, 850]",Spain,Female,31,3,843.7850000000001,2,1,0,92442.485,0,0,2,SILVER,591
*,*,sd***,"[418, 850]",France,Male,40,3,103436.16500000001,1,0,0,80187.465,0,0,2,DIAMOND,612
*,*,sd***,"[409, 850]",Germany,Female,43,1,119681.4,1,1,0,88528.75,0,1,3,DIAMOND,632
*,*,sd***,"[437, 850]",Spain,Male,33,8,754.52,2,0,1,83403.26,0,0,2,PLATINUM,595
*,*,sd***,"[412, 850]",Germany,Female,43,10,119691.19,2,1,0,88138.065,0,0,2,PLATINUM,641
*,*,sd***,"[431, 850]",Spain,Male,33,5,82665.63500000001,2,1,1,87426.185,1,1,3,DIAMOND,594
*,*,sd***,"[426, 850]",France,Male,33,9,859.6,2,0,0,87276.19,0,0,2,SILVER,581
*,*,sd***,"[405, 850]",France,Female,39,6,109267.96,1,0,1,87271.72,0,0,5,DIAMOND,610
*,*,sd***,"[417, 850]",France,Male,39,3,1054.92,1,0,0,81987.91500000001,1,1,4,PLATINUM,616
