RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
343984,746667,sdv-pii-x5pxl,554,Germany,Female,52,8,115954.99,3,0,0,165704.39,1,1,5,PLATINUM,913
8060568,14978897,sdv-pii-msthg,461,France,Female,34,6,147743.82,1,1,0,39735.76,0,0,2,PLATINUM,322
705627,7680236,sdv-pii-ocsen,694,Spain,Male,37,8,0.0,2,1,0,61339.79,0,0,3,PLATINUM,457
40431,9990238,sdv-pii-0mhmc,766,Spain,Male,22,2,0.0,2,1,0,29905.11,0,0,1,DIAMOND,386
11283339,5187252,sdv-pii-twsop,850,France,Male,30,8,0.0,2,1,1,116312.97,0,0,5,PLATINUM,254
3290936,15394028,sdv-pii-bj2ub,819,Germany,Male,23,8,104511.97,1,1,0,181278.37,0,0,3,PLATINUM,558
15330934,3430763,sdv-pii-zqmjv,696,Spain,Male,37,10,0.0,1,1,0,93172.41,0,0,1,PLATINUM,551
10434812,7723956,sdv-pii-unesr,763,Spain,Female,36,6,142197.09,2,0,0,19229.12,0,0,4,DIAMOND,586
9655424,1496020,sdv-pii-9g0j4,569,Spain,Male,41,8,0.0,2,1,1,74136.53,0,0,4,PLATINUM,751
3672529,3334120,sdv-pii-dzk0y,646,France,Female,57,10,117318.7,1,0,0,183483.6,1,1,3,GOLD,554
13652292,6324167,sdv-pii-0gnqj,564,France,Female,41,5,131289.07,3,0,0,10807.41,1,1,2,PLATINUM,523
5230807,3512678,sdv-pii-hh4g3,547,Germany,Male,25,2,0.0,2,1,0,16887.28,0,0,1,PLATINUM,247
787196,1350126,sdv-pii-h36hi,647,France,Male,23,8,0.0,1,1,1,2253.08,0,0,4,PLATINUM,576
12789536,8081867,sdv-pii-ud4kx,701,Spain,Female,36,5,0.0,2,1,0,95996.04,0,0,3,GOLD,648
9669114,9029401,sdv-pii-6g3l3,691,France,Male,37,8,114535.31,2,1,0,177984.54,0,0,2,DIAMOND,898
5144384,14843922,sdv-pii-s0quo,772,Spain,Female,24,5,159395.01,1,1,1,191113.47,0,0,3,SILVER,777
8552398,8363052,sdv-pii-knnpz,729,France,Female,29,8,121142.1,2,1,0,39303.62,0,1,3,DIAMOND,336
11072256,14298910,sdv-pii-vo66g,818,Germany,Female,28,1,126831.18,2,0,1,64645.69,0,0,3,DIAMOND,281
13074213,14885352,sdv-pii-cxjg1,613,Spain,Female,24,3,143583.7,1,1,0,45463.18,0,0,2,PLATINUM,905
14156822,5819406,sdv-pii-wnrdp,449,France,Female,73,8,110588.07,3,0,1,68973.31,1,1,3,DIAMOND,778
12975418,12976423,sdv-pii-zceya,659,Germany,Female,44,2,125591.87,3,1,0,155167.24,1,1,5,DIAMOND,871
7258238,10797455,sdv-pii-xb2t5,790,Germany,Female,39,9,98804.07,2,0,1,127378.43,0,0,4,PLATINUM,888
8425899,6286014,sdv-pii-lux7k,675,Germany,Female,65,9,152790.29,2,1,1,75908.93,0,0,3,DIAMOND,271
11788368,2643547,sdv-pii-ziqco,765,France,Female,32,7,0.0,2,1,1,178546.83,0,0,3,GOLD,725
1165528,8749285,sdv-pii-k6zyt,552,Spain,Male,31,10,213.92,2,1,0,34905.57,0,0,3,DIAMOND,812
14170405,16638996,sdv-pii-sudug,598,Spain,Female,50,8,126055.28,1,0,1,131232.64,0,0,1,GOLD,451
13535483,8496656,sdv-pii-v00gn,542,Spain,Female,52,8,132710.18,1,0,0,46195.82,1,1,1,DIAMOND,683
14212079,9769576,sdv-pii-ikcp2,713,Germany,Female,49,10,100686.49,1,0,0,166160.7,1,1,5,DIAMOND,641
