RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
*,*,sd***,"[456, 817]",Germany,Female,44,8,125077.24,3,0,0,107661.64,1,1,5,PLATINUM,686
*,*,sd***,"[461, 850]",France,Female,36,6,105813.82,1,1,0,110363.03,0,0,2,PLATINUM,585
*,*,sd***,"[486, 809]",Spain,Male,28,8,1113.565,2,1,0,73475.4,0,0,3,PLATINUM,512
*,*,sd***,"[476, 838]",Spain,Male,29,2,1748.24,2,1,0,64211.97,0,0,1,DIAMOND,559
*,*,sd***,"[508, 850]",France,Male,37,8,799.9,2,1,1,71993.92,0,0,5,PLATINUM,576
*,*,sd***,"[516, 840]",Germany,Male,52,8,110893.025,1,1,0,93814.26999999999,0,0,3,PLATINUM,357
*,*,sd***,"[486, 809]",Spain,Male,28,10,1113.565,1,1,0,73475.4,0,0,1,PLATINUM,512
*,*,sd***,"[515, 832]",Spain,Female,40,6,45480.86,2,0,0,87204.29000000001,0,0,4,DIAMOND,663
*,*,sd***,"[486, 809]",Spain,Male,28,8,1113.565,2,1,1,73475.4,0,0,4,PLATINUM,512
*,*,sd***,"[519, 841]",France,Female,32,10,95171.55,1,0,0,108845.77,1,1,3,GOLD,618
*,*,sd***,"[461, 850]",France,Female,36,5,105813.82,3,0,0,110363.03,1,1,2,PLATINUM,585
*,*,sd***,"[516, 840]",Germany,Male,52,2,110893.025,2,1,0,93814.26999999999,0,0,1,PLATINUM,357
*,*,sd***,"[508, 850]",France,Male,37,8,799.9,1,1,1,71993.92,0,0,4,PLATINUM,576
*,*,sd***,"[528, 801]",Spain,Female,35,5,41187.32,2,1,0,113614.34,0,0,3,GOLD,502
*,*,sd***,"[468, 717]",France,Male,46,8,102885.755,2,1,0,58280.03,0,0,2,DIAMOND,580
*,*,sd***,"[530, 801]",Spain,Female,34,5,330.15500000000003,1,1,1,88009.45499999999,0,0,3,SILVER,493
*,*,sd***,"[449, 804]",France,Female,55,8,111117.35,2,1,0,71094.36,0,1,3,DIAMOND,679
*,*,sd***,"[496, 818]",Germany,Female,51,1,124587.475,2,0,1,99643.1,0,0,3,DIAMOND,594
*,*,sd***,"[489, 802]",Spain,Female,38,3,748.25,1,1,0,77513.88,0,0,2,PLATINUM,603
*,*,sd***,"[449, 804]",France,Female,55,8,111117.35,3,0,1,71094.36,1,1,3,DIAMOND,679
*,*,sd***,"[496, 818]",Germany,Female,51,2,124587.475,3,1,0,99643.1,1,1,5,DIAMOND,594
*,*,sd***,"[456, 817]",Germany,Female,44,9,125077.24,2,0,1,107661.64,0,0,4,PLATINUM,686
*,*,sd***,"[496, 818]",Germany,Female,51,9,124587.475,2,1,1,99643.1,0,0,3,DIAMOND,594
*,*,sd***,"[519, 841]",France,Female,32,7,95171.55,2,1,1,108845.77,0,0,3,GOLD,618
*,*,sd***,"[476, 838]",Spain,Male,29,10,1748.24,2,1,0,64211.97,0,0,3,DIAMOND,559
*,*,sd***,"[528, 801]",Spain,Female,35,8,41187.32,1,0,1,113614.34,0,0,1,GOLD,502
*,*,sd***,"[515, 832]",Spain,Female,40,8,45480.86,1,0,0,87204.29000000001,1,1,1,DIAMOND,663
*,*,sd***,"[496, 818]",Germany,Female,51,10,124587.475,1,0,0,99643.1,1,1,5,DIAMOND,594
*,*,sd***,"[456, 817]",Germany,Female,44,7,125077.24,2,0,0,107661.64,0,0,3,PLATINUM,686
*,*,sd***,"[540, 791]",Germany,Female,39,6,116508.17,2,1,1,131467.9,0,0,5,SILVER,647
*,*,sd***,"[496, 818]",Germany,Female,51,8,124587.475,1,0,0,99643.1,1,1,3,DIAMOND,594
*,*,sd***,"[506, 791]",France,Male,52,3,96173.88500000001,2,1,1,72214.235,0,0,2,GOLD,673
*,*,sd***,"[515, 832]",Spain,Female,40,10,45480.86,1,1,0,87204.29000000001,0,0,3,DIAMOND,663
*,*,sd***,"[522, 760]",Germany,Female,53,4,117209.81,1,1,1,132692.46,1,1,3,GOLD,754
*,*,sd***,"[519, 841]",France,Female,32,8,95171.55,2,0,0,108845.77,0,0,2,GOLD,618
*,*,sd***,"[489, 802]",Spain,Female,38,5,748.25,1,1,0,77513.88,0,0,1,PLATINUM,603
*,*,sd***,"[496, 818]",Germany,Female,51,6,124587.475,3,0,0,99643.1,1,1,4,DIAMOND,594
*,*,sd***,"[461, 850]",France,Female,36,10,105813.82,2,1,0,110363.03,0,0,4,PLATINUM,585
*,*,sd***,"[469, 849]",France,Female,41,2,676.335,2,1,0,96864.255,1,0,5,SILVER,561
*,*,sd***,"[496, 818]",Germany,Female,51,8,124587.475,1,1,1,99643.1,0,0,2,DIAMOND,594
*,*,sd***,"[496, 818]",Germany,Female,51,4,124587.475,2,0,1,99643.1,0,0,2,DIAMOND,594
*,*,sd***,"[516, 849]",Germany,Male,45,7,126602.125,3,0,0,41734.884999999995,1,1,4,DIAMOND,812
*,*,sd***,"[486, 809]",Spain,Male,28,9,1113.565,2,1,0,73475.4,0,0,3,PLATINUM,512
*,*,sd***,"[528, 801]",Spain,Female,35,9,41187.32,2,0,1,113614.34,0,0,3,GOLD,502
*,*,sd***,"[506, 791]",France,Male,52,4,96173.88500000001,2,1,1,72214.235,0,0,5,GOLD,673
*,*,sd***,"[456, 817]",Germany,Female,44,5,125077.24,1,1,0,107661.64,0,0,5,PLATINUM,686
*,*,sd***,"[515, 832]",Spain,Female,40,9,45480.86,2,1,0,87204.29000000001,0,0,2,DIAMOND,663
*,*,sd***,"[456, 817]",Germany,Female,44,1,125077.24,1,1,1,107661.64,0,0,3,PLATINUM,686
*,*,sd***,"[500, 821]",Spain,Male,25,5,1029.575,2,1,0,91972.035,0,0,3,GOLD,632
*,*,sd***,"[530, 801]",Spain,Female,34,3,330.15500000000003,2,1,0,88009.45499999999,0,0,2,SILVER,493
*,*,sd***,"[468, 717]",France,Male,46,3,102885.755,1,0,0,58280.03,0,0,2,DIAMOND,580
*,*,sd***,"[496, 818]",Germany,Female,51,1,124587.475,1,1,0,99643.1,0,1,3,DIAMOND,594
*,*,sd***,"[486, 809]",Spain,Male,28,8,1113.565,2,0,1,73475.4,0,0,2,PLATINUM,512
*,*,sd***,"[456, 817]",Germany,Female,44,10,125077.24,2,1,0,107661.64,0,0,2,PLATINUM,686
*,*,sd***,"[476, 838]",Spain,Male,29,5,1748.24,2,1,1,64211.97,1,1,3,DIAMOND,559
*,*,sd***,"[476, 831]",France,Male,33,9,439.455,2,0,0,80923.855,0,0,2,SILVER,513
*,*,sd***,"[449, 804]",France,Female,55,6,111117.35,1,0,1,71094.36,0,0,5,DIAMOND,679
*,*,sd***,"[508, 850]",France,Male,37,3,799.9,1,0,0,71993.92,1,1,4,PLATINUM,576
*,*,sd***,"[456, 817]",Germany,Female,44,10,125077.24,3,0,0,107661.64,1,1,1,PLATINUM,686
*,*,sd***,"[516, 849]",Germany,Male,45,5,126602.125,2,1,1,41734.884999999995,0,0,4,DIAMOND,812
