RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
*,*,sd***,"[456, 817]",Germany,Female,44,8,115954.99,3,0,0,165704.39,1,1,5,PLATINUM,686
*,*,sd***,"[461, 850]",France,Female,36,6,147743.82,1,1,0,39735.76,0,0,2,PLATINUM,585
*,*,sd***,"[486, 809]",Spain,Male,28,8,0.0,2,1,0,61339.79,0,0,3,PLATINUM,512
*,*,sd***,"[476, 838]",Spain,Male,29,2,0.0,2,1,0,29905.11,0,0,1,DIAMOND,559
*,*,sd***,"[508, 850]",France,Male,37,8,0.0,2,1,1,116312.97,0,0,5,PLATINUM,576
*,*,sd***,"[516, 840]",Germany,Male,52,8,104511.97,1,1,0,181278.37,0,0,3,PLATINUM,357
*,*,sd***,"[486, 809]",Spain,Male,28,10,0.0,1,1,0,93172.41,0,0,1,PLATINUM,512
*,*,sd***,"[515, 832]",Spain,Female,40,6,142197.09,2,0,0,19229.12,0,0,4,DIAMOND,663
*,*,sd***,"[486, 809]",Spain,Male,28,8,0.0,2,1,1,74136.53,0,0,4,PLATINUM,512
*,*,sd***,"[519, 841]",France,Female,32,10,117318.7,1,0,0,183483.6,1,1,3,GOLD,618
*,*,sd***,"[461, 850]",France,Female,36,5,131289.07,3,0,0,10807.41,1,1,2,PLATINUM,585
*,*,sd***,"[516, 840]",Germany,Male,52,2,0.0,2,1,0,16887.28,0,0,1,PLATINUM,357
*,*,sd***,"[508, 850]",France,Male,37,8,0.0,1,1,1,2253.08,0,0,4,PLATINUM,576
*,*,sd***,"[528, 801]",Spain,Female,35,5,0.0,2,1,0,95996.04,0,0,3,GOLD,502
*,*,sd***,"[468, 717]",France,Male,46,8,114535.31,2,1,0,177984.54,0,0,2,DIAMOND,580
*,*,sd***,"[530, 801]",Spain,Female,34,5,159395.01,1,1,1,191113.47,0,0,3,SILVER,493
*,*,sd***,"[449, 804]",France,Female,55,8,121142.1,2,1,0,39303.62,0,1,3,DIAMOND,679
*,*,sd***,"[496, 818]",Germany,Female,51,1,126831.18,2,0,1,64645.69,0,0,3,DIAMOND,594
*,*,sd***,"[489, 802]",Spain,Female,38,3,143583.7,1,1,0,45463.18,0,0,2,PLATINUM,603
*,*,sd***,"[449, 804]",France,Female,55,8,110588.07,3,0,1,68973.31,1,1,3,DIAMOND,679
*,*,sd***,"[496, 818]",Germany,Female,51,2,125591.87,3,1,0,155167.24,1,1,5,DIAMOND,594
*,*,sd***,"[456, 817]",Germany,Female,44,9,98804.07,2,0,1,127378.43,0,0,4,PLATINUM,686
*,*,sd***,"[496, 818]",Germany,Female,51,9,152790.29,2,1,1,75908.93,0,0,3,DIAMOND,594
*,*,sd***,"[519, 841]",France,Female,32,7,0.0,2,1,1,178546.83,0,0,3,GOLD,618
