RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
13621524,11277484,sXXXXXXXXXXXX,585,GXXXXXX,MXXX,45,3,0.0,2,1,0,180965.17,0,0,3,PXXXXXXX,592
11263395,15613777,sXXXXXXXXXXXX,525,GXXXXXX,FXXXXX,46,8,108435.15,1,1,0,65110.92,1,0,1,DXXXXXX,509
6684835,3534101,sXXXXXXXXXXXX,770,SXXXX,FXXXXX,76,3,145546.76,2,0,0,40099.71,0,0,4,PXXXXXXX,318
12404897,15493276,sXXXXXXXXXXXX,722,SXXXX,MXXX,35,9,0.0,2,0,0,66734.05,0,0,2,DXXXXXX,313
3165705,8870539,sXXXXXXXXXXXX,527,FXXXXX,MXXX,28,2,0.0,2,1,0,93598.18,0,0,3,PXXXXXXX,637
6252473,13243624,sXXXXXXXXXXXX,544,GXXXXXX,FXXXXX,26,5,123777.28,1,1,0,120414.15,0,0,1,DXXXXXX,636
8285691,5122806,sXXXXXXXXXXXX,784,GXXXXXX,FXXXXX,49,7,106374.48,1,1,0,132875.38,0,0,4,DXXXXXX,341
2162312,16221515,sXXXXXXXXXXXX,488,SXXXX,FXXXXX,30,3,130531.38,1,1,0,75973.45,0,0,4,DXXXXXX,757
11900576,16189633,sXXXXXXXXXXXX,679,FXXXXX,MXXX,30,8,131489.59,2,1,0,45493.45,0,0,4,GXXX,816
4495994,14926624,sXXXXXXXXXXXX,596,SXXXX,FXXXXX,31,8,0.0,2,0,0,54991.21,0,0,3,PXXXXXXX,567
2042920,134992,sXXXXXXXXXXXX,594,GXXXXXX,FXXXXX,50,1,103327.27,1,0,0,166440.24,0,0,3,DXXXXXX,272
8422904,902863,sXXXXXXXXXXXX,706,FXXXXX,FXXXXX,43,9,112304.69,2,0,0,98458.61,0,0,3,PXXXXXXX,333
8405582,1031275,sXXXXXXXXXXXX,510,GXXXXXX,MXXX,41,5,107731.67,3,1,0,58707.84,1,0,4,PXXXXXXX,322
15497710,13882824,sXXXXXXXXXXXX,626,FXXXXX,FXXXXX,64,9,0.0,3,1,0,178251.64,1,0,4,DXXXXXX,283
9820503,8924974,sXXXXXXXXXXXX,549,SXXXX,MXXX,61,9,675.44,2,0,0,49147.62,0,0,3,GXXX,379
1901739,2102313,sXXXXXXXXXXXX,792,FXXXXX,MXXX,34,9,104253.63,2,1,0,60042.36,0,0,2,DXXXXXX,897
8303220,5815382,sXXXXXXXXXXXX,742,SXXXX,FXXXXX,26,2,140193.66,2,0,0,71868.57,0,0,3,SXXXXX,874
202159,7434551,sXXXXXXXXXXXX,594,SXXXX,FXXXXX,50,1,0.0,2,0,0,82000.46,0,0,5,DXXXXXX,301
12726742,2382801,sXXXXXXXXXXXX,481,SXXXX,FXXXXX,50,6,0.0,1,0,0,102402.51,1,0,3,PXXXXXXX,877
14641572,10650101,sXXXXXXXXXXXX,639,FXXXXX,MXXX,49,9,101357.31,1,0,0,125076.25,0,0,4,DXXXXXX,290
7623605,14013807,sXXXXXXXXXXXX,560,SXXXX,MXXX,31,8,219.51,2,1,0,118178.23,0,0,5,GXXX,977
2574950,14938590,sXXXXXXXXXXXX,618,SXXXX,MXXX,34,9,123766.01,1,0,0,81564.07,0,0,3,GXXX,372
14589663,16367120,sXXXXXXXXXXXX,658,SXXXX,MXXX,59,7,606.46,2,0,0,99468.57,0,0,5,DXXXXXX,429
9803298,16096664,sXXXXXXXXXXXX,630,GXXXXXX,FXXXXX,66,2,131889.42,2,1,0,81102.46,0,0,3,DXXXXXX,737
1053089,726795,sXXXXXXXXXXXX,737,FXXXXX,FXXXXX,43,3,288.92,2,1,0,185748.35,0,0,5,PXXXXXXX,801
10074179,126114,sXXXXXXXXXXXX,518,FXXXXX,FXXXXX,47,3,110641.29,1,1,0,71414.11,1,0,2,PXXXXXXX,881
3546506,13269257,sXXXXXXXXXXXX,718,SXXXX,MXXX,28,0,119549.42,1,0,0,62213.08,0,0,4,SXXXXX,828
10149358,14571227,sXXXXXXXXXXXX,836,FXXXXX,MXXX,45,8,113359.75,1,1,0,7512.99,1,0,3,GXXX,853
6859102,14821993,sXXXXXXXXXXXX,635,SXXXX,FXXXXX,24,9,0.0,1,0,0,115856.2,0,0,5,PXXXXXXX,900
4496640,11182707,sXXXXXXXXXXXX,776,FXXXXX,MXXX,40,1,102192.6,2,0,0,106615.61,0,0,3,DXXXXXX,376
14980474,880664,sXXXXXXXXXXXX,733,SXXXX,FXXXXX,29,6,0.0,2,0,0,149416.54,0,0,2,GXXX,828
16583199,7410507,sXXXXXXXXXXXX,655,GXXXXXX,FXXXXX,48,5,121853.77,3,1,0,144022.4,1,0,4,PXXXXXXX,794
7639302,4537533,sXXXXXXXXXXXX,530,SXXXX,FXXXXX,27,3,0.0,2,1,0,185514.4,0,0,5,PXXXXXXX,792
13767145,8851999,sXXXXXXXXXXXX,704,SXXXX,MXXX,40,8,106014.33,2,1,0,100259.11,0,0,2,SXXXXX,405
13948123,11885749,sXXXXXXXXXXXX,513,GXXXXXX,FXXXXX,31,5,123970.7,1,1,0,124382.3,0,0,2,DXXXXXX,958
2414603,12812949,sXXXXXXXXXXXX,777,SXXXX,MXXX,31,1,99329.02,2,1,0,20357.51,0,0,1,SXXXXX,270
4116211,4448220,sXXXXXXXXXXXX,610,SXXXX,FXXXXX,50,8,126302.68,1,0,0,127753.5,1,0,5,DXXXXXX,346
607349,9348793,sXXXXXXXXXXXX,781,GXXXXXX,FXXXXX,50,5,136992.4,1,1,0,139771.44,0,0,3,PXXXXXXX,791
16378682,11232053,sXXXXXXXXXXXX,512,SXXXX,MXXX,28,8,0.0,2,0,0,71365.85,0,0,5,PXXXXXXX,309
9845238,12485634,sXXXXXXXXXXXX,695,FXXXXX,MXXX,44,2,145859.81,2,1,0,46110.04,0,0,4,SXXXXX,841
7312440,8659434,sXXXXXXXXXXXX,813,FXXXXX,FXXXXX,49,8,138744.57,2,0,0,86518.77,1,0,4,GXXX,941
5566316,16149664,sXXXXXXXXXXXX,519,FXXXXX,MXXX,29,8,97853.64,2,1,0,92963.29,0,0,2,GXXX,783
14233778,15016045,sXXXXXXXXXXXX,771,FXXXXX,FXXXXX,63,10,94575.48,1,0,0,45762.7,1,0,1,GXXX,425
6330336,15913322,sXXXXXXXXXXXX,614,SXXXX,MXXX,37,4,105774.93,2,1,0,125823.16,0,0,3,PXXXXXXX,507
15114380,1429548,sXXXXXXXXXXXX,651,SXXXX,MXXX,29,9,56.6,2,1,0,53353.13,0,0,2,PXXXXXXX,435
15426899,1524056,sXXXXXXXXXXXX,576,SXXXX,FXXXXX,47,8,0.0,2,0,0,146584.27,0,0,3,GXXX,878
15410071,8280902,sXXXXXXXXXXXX,689,GXXXXXX,MXXX,46,8,99508.5,3,1,0,71397.42,1,0,4,PXXXXXXX,974
16590763,11374782,sXXXXXXXXXXXX,721,GXXXXXX,MXXX,23,4,103927.95,2,0,0,111946.72,0,0,1,GXXX,409
11858280,5320900,sXXXXXXXXXXXX,849,FXXXXX,FXXXXX,45,2,138280.29,1,1,0,39507.18,1,0,1,SXXXXX,375
11012121,15553745,sXXXXXXXXXXXX,750,GXXXXXX,MXXX,36,6,0.0,1,1,0,88915.11,0,0,4,PXXXXXXX,290
12777118,3115989,sXXXXXXXXXXXX,569,FXXXXX,FXXXXX,46,5,107918.99,1,0,0,33372.17,1,0,2,PXXXXXXX,330
8342663,13981231,sXXXXXXXXXXXX,735,SXXXX,FXXXXX,30,9,0.0,2,0,0,196739.8,0,0,4,SXXXXX,874
1327313,1780264,sXXXXXXXXXXXX,810,SXXXX,FXXXXX,25,5,0.0,2,0,0,44524.18,0,0,5,PXXXXXXX,743
16353374,11658374,sXXXXXXXXXXXX,593,FXXXXX,FXXXXX,26,9,12.05,2,1,0,141706.87,0,0,5,DXXXXXX,270
5326027,133354,sXXXXXXXXXXXX,495,SXXXX,FXXXXX,45,9,74255.76,2,0,0,113071.77,1,0,1,SXXXXX,439
5791966,2978897,sXXXXXXXXXXXX,502,SXXXX,MXXX,31,9,122899.56,2,1,0,55075.11,0,0,1,DXXXXXX,791
373046,8695170,sXXXXXXXXXXXX,548,FXXXXX,FXXXXX,55,3,97948.72,1,1,0,128567.76,0,0,4,DXXXXXX,940
8562152,3409703,sXXXXXXXXXXXX,503,FXXXXX,MXXX,42,2,114960.55,3,1,0,39863.02,1,0,3,DXXXXXX,461
