RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned,plot_x,plot_y,cluster
13621524,11277484,sXXXXXXXXXXXX,585,GXXXXXX,MXXX,45,3,0.0,2,1,0,180965.17,0,0,3,PXXXXXXX,592,1.3621524E7,1.1277484E7,1
11263395,15613777,sXXXXXXXXXXXX,525,GXXXXXX,FXXXXX,46,8,108435.15,1,1,0,65110.92,1,0,1,DXXXXXX,509,1.1263395E7,1.5613777E7,4
6684835,3534101,sXXXXXXXXXXXX,770,SXXXX,FXXXXX,76,3,145546.76,2,0,0,40099.71,0,0,4,PXXXXXXX,318,6684835.0,3534101.0,0
12404897,15493276,sXXXXXXXXXXXX,722,SXXXX,MXXX,35,9,0.0,2,0,0,66734.05,0,0,2,DXXXXXX,313,1.2404897E7,1.5493276E7,0
3165705,8870539,sXXXXXXXXXXXX,527,FXXXXX,MXXX,28,2,0.0,2,1,0,93598.18,0,0,3,PXXXXXXX,637,3165705.0,8870539.0,3
6252473,13243624,sXXXXXXXXXXXX,544,GXXXXXX,FXXXXX,26,5,123777.28,1,1,0,120414.15,0,0,1,DXXXXXX,636,6252473.0,1.3243624E7,4
8285691,5122806,sXXXXXXXXXXXX,784,GXXXXXX,FXXXXX,49,7,106374.48,1,1,0,132875.38,0,0,4,DXXXXXX,341,8285691.0,5122806.0,4
2162312,16221515,sXXXXXXXXXXXX,488,SXXXX,FXXXXX,30,3,130531.38,1,1,0,75973.45,0,0,4,DXXXXXX,757,2162312.0,1.6221515E7,0
11900576,16189633,sXXXXXXXXXXXX,679,FXXXXX,MXXX,30,8,131489.59,2,1,0,45493.45,0,0,4,GXXX,816,1.1900576E7,1.6189633E7,3
4495994,14926624,sXXXXXXXXXXXX,596,SXXXX,FXXXXX,31,8,0.0,2,0,0,54991.21,0,0,3,PXXXXXXX,567,4495994.0,1.4926624E7,0
2042920,134992,sXXXXXXXXXXXX,594,GXXXXXX,FXXXXX,50,1,103327.27,1,0,0,166440.24,0,0,3,DXXXXXX,272,2042920.0,134992.0,4
8422904,902863,sXXXXXXXXXXXX,706,FXXXXX,FXXXXX,43,9,112304.69,2,0,0,98458.61,0,0,3,PXXXXXXX,333,8422904.0,902863.0,3
8405582,1031275,sXXXXXXXXXXXX,510,GXXXXXX,MXXX,41,5,107731.67,3,1,0,58707.84,1,0,4,PXXXXXXX,322,8405582.0,1031275.0,1
15497710,13882824,sXXXXXXXXXXXX,626,FXXXXX,FXXXXX,64,9,0.0,3,1,0,178251.64,1,0,4,DXXXXXX,283,1.549771E7,1.3882824E7,2
9820503,8924974,sXXXXXXXXXXXX,549,SXXXX,MXXX,61,9,675.44,2,0,0,49147.62,0,0,3,GXXX,379,9820503.0,8924974.0,0
1901739,2102313,sXXXXXXXXXXXX,792,FXXXXX,MXXX,34,9,104253.63,2,1,0,60042.36,0,0,2,DXXXXXX,897,1901739.0,2102313.0,3
8303220,5815382,sXXXXXXXXXXXX,742,SXXXX,FXXXXX,26,2,140193.66,2,0,0,71868.57,0,0,3,SXXXXX,874,8303220.0,5815382.0,0
202159,7434551,sXXXXXXXXXXXX,594,SXXXX,FXXXXX,50,1,0.0,2,0,0,82000.46,0,0,5,DXXXXXX,301,202159.0,7434551.0,0
12726742,2382801,sXXXXXXXXXXXX,481,SXXXX,FXXXXX,50,6,0.0,1,0,0,102402.51,1,0,3,PXXXXXXX,877,1.2726742E7,2382801.0,0
14641572,10650101,sXXXXXXXXXXXX,639,FXXXXX,MXXX,49,9,101357.31,1,0,0,125076.25,0,0,4,DXXXXXX,290,1.4641572E7,1.0650101E7,3
7623605,14013807,sXXXXXXXXXXXX,560,SXXXX,MXXX,31,8,219.51,2,1,0,118178.23,0,0,5,GXXX,977,7623605.0,1.4013807E7,0
2574950,14938590,sXXXXXXXXXXXX,618,SXXXX,MXXX,34,9,123766.01,1,0,0,81564.07,0,0,3,GXXX,372,2574950.0,1.493859E7,0
14589663,16367120,sXXXXXXXXXXXX,658,SXXXX,MXXX,59,7,606.46,2,0,0,99468.57,0,0,5,DXXXXXX,429,1.4589663E7,1.636712E7,0
9803298,16096664,sXXXXXXXXXXXX,630,GXXXXXX,FXXXXX,66,2,131889.42,2,1,0,81102.46,0,0,3,DXXXXXX,737,9803298.0,1.6096664E7,4
1053089,726795,sXXXXXXXXXXXX,737,FXXXXX,FXXXXX,43,3,288.92,2,1,0,185748.35,0,0,5,PXXXXXXX,801,1053089.0,726795.0,3
10074179,126114,sXXXXXXXXXXXX,518,FXXXXX,FXXXXX,47,3,110641.29,1,1,0,71414.11,1,0,2,PXXXXXXX,881,1.0074179E7,126114.0,2
3546506,13269257,sXXXXXXXXXXXX,718,SXXXX,MXXX,28,0,119549.42,1,0,0,62213.08,0,0,4,SXXXXX,828,3546506.0,1.3269257E7,0
10149358,14571227,sXXXXXXXXXXXX,836,FXXXXX,MXXX,45,8,113359.75,1,1,0,7512.99,1,0,3,GXXX,853,1.0149358E7,1.4571227E7,2
6859102,14821993,sXXXXXXXXXXXX,635,SXXXX,FXXXXX,24,9,0.0,1,0,0,115856.2,0,0,5,PXXXXXXX,900,6859102.0,1.4821993E7,0
4496640,11182707,sXXXXXXXXXXXX,776,FXXXXX,MXXX,40,1,102192.6,2,0,0,106615.61,0,0,3,DXXXXXX,376,4496640.0,1.1182707E7,3
14980474,880664,sXXXXXXXXXXXX,733,SXXXX,FXXXXX,29,6,0.0,2,0,0,149416.54,0,0,2,GXXX,828,1.4980474E7,880664.0,0
16583199,7410507,sXXXXXXXXXXXX,655,GXXXXXX,FXXXXX,48,5,121853.77,3,1,0,144022.4,1,0,4,PXXXXXXX,794,1.6583199E7,7410507.0,1
7639302,4537533,sXXXXXXXXXXXX,530,SXXXX,FXXXXX,27,3,0.0,2,1,0,185514.4,0,0,5,PXXXXXXX,792,7639302.0,4537533.0,0
13767145,8851999,sXXXXXXXXXXXX,704,SXXXX,MXXX,40,8,106014.33,2,1,0,100259.11,0,0,2,SXXXXX,405,1.3767145E7,8851999.0,0
13948123,11885749,sXXXXXXXXXXXX,513,GXXXXXX,FXXXXX,31,5,123970.7,1,1,0,124382.3,0,0,2,DXXXXXX,958,1.3948123E7,1.1885749E7,4
